origin,destination,year,students
Pakistan,Namibia,2019,1
Tajikistan,New Zealand,2017,1
Tajikistan,New Zealand,2020,1
Tajikistan,New Zealand,2021,1
Vietnam,South Africa,2021,1
Malaysia,Argentina,2019,1
Turkey,Ghana,2018,1
Democratic People's South Korea,Hong Kong,2017,1
Iraq,Bosnia and Herzegovina,2018,1
Iraq,Bosnia and Herzegovina,2019,1
Sri Lanka,Trinidad and Tobago,2021,1
Jordan,Iceland,2018,1
Jordan,Iceland,2019,1
Iraq,Slovenia,2020,1
Turkey,Sri Lanka,2018,1
Turkey,Sri Lanka,2021,1
Timor-Leste,Italy,2018,1
Timor-Leste,Italy,2021,1
Armenia,Namibia,2017,1
Japan,Lao People's Democratic Republic,2019,1
Cambodia,Ecuador,2018,1
Kazakhstan,Brazil,2020,1
Lao People's Democratic Republic,Italy,2018,1
Lebanon,Botswana,2020,1
Malaysia,Azerbaijan,2019,1
Malaysia,Azerbaijan,2020,1
Bhutan,Slovenia,2021,1
Georgia,Morocco,2018,1
Georgia,Morocco,2019,1
Georgia,Morocco,2020,1
Georgia,Morocco,2021,1
unknown countries,Colombia,2021,1
Bhutan,Hungary,2021,1
Maldives,Denmark,2018,1
Saudi Arabia,Cuba,2018,1
Saudi Arabia,Cuba,2019,1
Saudi Arabia,Cuba,2020,1
Tajikistan,Armenia,2017,1
Armenia,Iceland,2017,1
Philippines,Latvia,2017,1
Philippines,Latvia,2018,1
Armenia,Chile,2020,1
Azerbaijan,Serbia,2020,1
Brunei Darussalam,Ukraine,2021,1
Brunei Darussalam,Cuba,2018,1
Oman,Hong Kong,2019,1
Oman,Hong Kong,2020,1
Bahrain,Belgium,2019,1
Democratic People's South Korea,Hungary,2020,1
Thailand,Greece,2017,1
Thailand,Greece,2020,1
Thailand,Greece,2021,1
Georgia,Bhutan,2021,1
Georgia,Iceland,2019,1
Georgia,Iceland,2021,1
Azerbaijan,Indonesia,2017,1
Azerbaijan,Indonesia,2018,1
Tajikistan,Georgia,2017,1
Tajikistan,Georgia,2018,1
Tajikistan,Georgia,2019,1
Armenia,Morocco,2017,1
Armenia,Morocco,2018,1
Armenia,Morocco,2019,1
Democratic People's South Korea,Colombia,2020,1
Pakistan,Trinidad and Tobago,2021,1
"Macao",Luxembourg,2017,1
"Macao",Luxembourg,2019,1
Kuwait,Kazakhstan,2017,1
Israel,Cuba,2018,1
Israel,Cuba,2019,1
Mongolia,Brazil,2018,1
Mongolia,Brazil,2019,1
Mongolia,Brazil,2020,1
Lebanon,Costa Rica,2018,1
Lebanon,Costa Rica,2019,1
Cyprus,Macao,2020,1
Cyprus,Macao,2021,1
Vietnam,Croatia,2017,1
Oman,Liechtenstein,2017,1
Oman,Liechtenstein,2018,1
Oman,Liechtenstein,2019,1
Myanmar,Georgia,2018,1
Brunei Darussalam,Sri Lanka,2018,1
Brunei Darussalam,Sri Lanka,2019,1
Brunei Darussalam,Sri Lanka,2021,1
Iraq,Croatia,2017,1
Iraq,Croatia,2019,1
Georgia,India,2021,1
Jordan,Chile,2019,1
Sri Lanka,Monaco,2020,1
Cyprus,Bahrain,2017,1
Cyprus,Bahrain,2020,1
Nepal,Oman,2017,1
Nepal,Oman,2018,1
Sri Lanka,Morocco,2019,1
"Hong Kong",Serbia,2020,1
Cyprus,Thailand,2020,1
Brunei Darussalam,Qatar,2021,1
Bahrain,Portugal,2017,1
Iraq,Luxembourg,2017,1
Nepal,Slovakia,2017,1
Philippines,Mauritius,2020,1
Philippines,Mauritius,2021,1
Saudi Arabia,Grenada,2017,1
Tajikistan,Sweden,2019,1
Tajikistan,Sweden,2020,1
Cambodia,Poland,2018,1
Bhutan,Colombia,2021,1
Kazakhstan,Serbia,2021,1
"Macao",Romania,2019,1
Bahrain,New Zealand,2017,1
Saudi Arabia,Uzbekistan,2021,1
Turkmenistan,Spain,2019,1
Turkmenistan,Spain,2021,1
South Korea,Luxembourg,2017,1
Saudi Arabia,Brunei Darussalam,2018,1
Saudi Arabia,Brunei Darussalam,2019,1
Myanmar,Iran,2017,1
Myanmar,Iran,2018,1
Myanmar,Iran,2019,1
Myanmar,Iran,2020,1
Qatar,Greece,2020,1
Bangladesh,El Salvador,2020,1
Nepal,Macao,2017,1
Nepal,Macao,2020,1
Nepal,Macao,2021,1
Thailand,Belarus,2017,1
Thailand,Belarus,2018,1
Thailand,Belarus,2019,1
Kazakhstan,North Macedonia,2018,1
Kazakhstan,North Macedonia,2020,1
Kazakhstan,North Macedonia,2021,1
Oman,Hungary,2019,1
Oman,Hungary,2020,1
Kyrgyzstan,Thailand,2020,1
Kuwait,Portugal,2017,1
Kuwait,Portugal,2019,1
Kuwait,Portugal,2020,1
Syrian Arab Republic,Côte d'Ivoire,2017,1
Syrian Arab Republic,Côte d'Ivoire,2019,1
Syrian Arab Republic,Côte d'Ivoire,2020,1
Sri Lanka,Iceland,2020,1
Sri Lanka,Iceland,2021,1
Kyrgyzstan,Mongolia,2018,1
Tajikistan,Portugal,2018,1
Tajikistan,Portugal,2019,1
Tajikistan,Portugal,2020,1
Tajikistan,Portugal,2021,1
Azerbaijan,Cyprus,2021,1
"Macao",Slovenia,2020,1
Afghanistan,Republic of Moldova,2018,1
Cambodia,Azerbaijan,2020,1
Cambodia,Azerbaijan,2021,1
Pakistan,Cuba,2018,1
Democratic People's South Korea,Czechia,2017,1
Democratic People's South Korea,Czechia,2018,1
Mongolia,Mozambique,2017,1
Bhutan,Hong Kong,2019,1
Saudi Arabia,Ghana,2018,1
Nepal,Bahrain,2019,1
Nepal,Bahrain,2020,1
Nepal,Bahrain,2021,1
Kuwait,Sweden,2021,1
Bahrain,Romania,2019,1
Bahrain,Romania,2020,1
Turkmenistan,Jordan,2017,1
Turkmenistan,Jordan,2019,1
Azerbaijan,Malta,2018,1
Syrian Arab Republic,North Macedonia,2019,1
Qatar,Finland,2017,1
Qatar,Finland,2018,1
Qatar,Finland,2019,1
Qatar,Finland,2020,1
Qatar,Finland,2021,1
Cambodia,Argentina,2021,1
Brunei Darussalam,Norway,2021,1
Japan,Azerbaijan,2018,1
Israel,Dominican Republic,2020,1
Israel,Dominican Republic,2021,1
Iraq,Hong Kong,2017,1
Iraq,Hong Kong,2019,1
Democratic People's South Korea,Republic of Moldova,2017,1
Democratic People's South Korea,Republic of Moldova,2018,1
Democratic People's South Korea,Republic of Moldova,2021,1
Azerbaijan,Brazil,2019,1
Democratic People's South Korea,Saudi Arabia,2019,1
Democratic People's South Korea,Saudi Arabia,2020,1
Mongolia,North Macedonia,2018,1
Mongolia,North Macedonia,2020,1
Thailand,Slovakia,2021,1
Malaysia,Bulgaria,2020,1
Mongolia,Estonia,2017,1
Cyprus,India,2017,1
Cyprus,India,2019,1
Lao People's Democratic Republic,Poland,2019,1
Iran,Ghana,2017,1
Iran,Ghana,2021,1
Philippines,Iran,2017,1
Philippines,Iran,2018,1
Philippines,Iran,2019,1
Democratic People's South Korea,Cyprus,2020,1
Brunei Darussalam,Denmark,2017,1
Brunei Darussalam,Denmark,2019,1
Brunei Darussalam,Denmark,2020,1
Syrian Arab Republic,Estonia,2020,1
Syrian Arab Republic,Estonia,2021,1
Oman,Bulgaria,2021,1
Qatar,Ghana,2020,1
"Hong Kong",Bahrain,2018,1
"Hong Kong",Bahrain,2019,1
"Hong Kong",Bahrain,2020,1
"Hong Kong",Bahrain,2021,1
Vietnam,Slovenia,2017,1
Vietnam,Slovenia,2020,1
Vietnam,Slovenia,2021,1
Israel,Costa Rica,2019,1
Maldives,Romania,2017,1
Maldives,Romania,2018,1
Maldives,Romania,2019,1
Maldives,Romania,2020,1
Malaysia,Malta,2017,1
Bangladesh,Kenya,2017,1
India,Côte d'Ivoire,2017,1
India,Côte d'Ivoire,2020,1
Singapore,Malta,2017,1
Kuwait,Luxembourg,2018,1
Kyrgyzstan,Brunei Darussalam,2017,1
Kyrgyzstan,Brunei Darussalam,2018,1
Qatar,Slovakia,2017,1
Qatar,Slovakia,2018,1
Qatar,Slovakia,2019,1
Qatar,Slovakia,2020,1
Lao People's Democratic Republic,Austria,2017,1
Lao People's Democratic Republic,Austria,2018,1
Lao People's Democratic Republic,Austria,2019,1
Lao People's Democratic Republic,Austria,2020,1
Oman,Czechia,2017,1
Oman,Czechia,2018,1
Oman,Czechia,2019,1
Oman,Czechia,2020,1
Iran,Kyrgyzstan,2018,1
Turkey,Chile,2021,1
Turkmenistan,Serbia,2020,1
Pakistan,Chile,2018,1
Cambodia,Brazil,2019,1
Cambodia,Brazil,2020,1
India,Mozambique,2017,1
India,Mozambique,2018,1
Afghanistan,Mauritania,2019,1
Japan,Cyprus,2019,1
Maldives,Portugal,2017,1
Cambodia,Ireland,2017,1
Cambodia,Ireland,2018,1
Cambodia,Ireland,2021,1
Maldives,South Africa,2021,1
Turkey,Sint Maarten (Dutch part),2017,1
Indonesia,Slovenia,2017,1
Nepal,Brunei Darussalam,2019,1
Bhutan,Poland,2018,1
Bhutan,Poland,2019,1
Palestine,Mozambique,2018,1
Bhutan,Azerbaijan,2020,1
Bhutan,Azerbaijan,2021,1
Uzbekistan,Oman,2020,1
Uzbekistan,Oman,2021,1
Bahrain,Bosnia and Herzegovina,2017,1
Bahrain,Bosnia and Herzegovina,2018,1
Bahrain,Bosnia and Herzegovina,2019,1
Malaysia,Brazil,2021,1
Timor-Leste,France,2021,1
Nepal,Ghana,2019,1
Yemen,Brunei Darussalam,2019,1
Yemen,Brunei Darussalam,2020,1
Kuwait,South Africa,2021,1
Qatar,El Salvador,2017,1
Democratic People's South Korea,Argentina,2021,1
Bahrain,Slovenia,2018,1
Bahrain,Slovenia,2019,1
Bahrain,Slovenia,2020,1
Bahrain,Slovenia,2021,1
United Arab Emirates,Kazakhstan,2017,1
United Arab Emirates,Kazakhstan,2019,1
Philippines,Georgia,2017,1
Philippines,Georgia,2019,1
Vietnam,Iran,2017,1
Vietnam,Iran,2020,1
Azerbaijan,Oman,2017,1
Azerbaijan,Oman,2018,1
Azerbaijan,Oman,2021,1
Thailand,Ukraine,2017,1
Thailand,Ukraine,2018,1
Thailand,Ukraine,2019,1
Afghanistan,Malta,2018,1
Afghanistan,Malta,2019,1
Brunei Darussalam,Lithuania,2021,1
Iran,Vietnam,2019,1
Iran,Vietnam,2021,1
Palestine,North Macedonia,2019,1
Lao People's Democratic Republic,Türkiye,2019,1
Lebanon,Chile,2017,1
Lebanon,Chile,2018,1
Lebanon,Chile,2020,1
Singapore,Cyprus,2017,1
Singapore,Cyprus,2018,1
"Hong Kong",Slovakia,2020,1
Indonesia,Croatia,2017,1
"Macao",Italy,2018,1
Singapore,Brazil,2018,1
Bhutan,Spain,2019,1
Brunei Darussalam,India,2018,1
Cyprus,Cuba,2018,1
Cyprus,Cuba,2019,1
Indonesia,Bosnia and Herzegovina,2019,1
Indonesia,Bosnia and Herzegovina,2020,1
Indonesia,Bosnia and Herzegovina,2021,1
Vietnam,Republic of Moldova,2019,1
Nepal,Qatar,2018,1
Cambodia,Cyprus,2017,1
Cambodia,Cyprus,2019,1
Cambodia,Cyprus,2020,1
Cambodia,Cyprus,2021,1
Israel,Iceland,2017,1
Jordan,Latvia,2017,1
Jordan,Latvia,2018,1
Jordan,Latvia,2021,1
Bahrain,South Africa,2019,1
Democratic People's South Korea,Azerbaijan,2020,1
Philippines,Kazakhstan,2017,1
Philippines,Kazakhstan,2018,1
Philippines,Kazakhstan,2020,1
Qatar,Russia,2019,1
Armenia,Portugal,2017,1
Iran,Macao,2017,1
Iran,Macao,2019,1
Iran,Macao,2020,1
Iran,Macao,2021,1
South Korea,Saudi Arabia,2021,1
Cambodia,Netherlands,2018,1
Lebanon,Latvia,2019,1
"Hong Kong",Vietnam,2017,1
Iran,Uzbekistan,2019,1
Singapore,Bulgaria,2017,1
Singapore,Bulgaria,2019,1
Singapore,Bulgaria,2020,1
Tajikistan,Bosnia and Herzegovina,2019,1
Tajikistan,Bosnia and Herzegovina,2021,1
Kuwait,Croatia,2017,1
Kuwait,Croatia,2018,1
India,Mongolia,2019,1
Indonesia,Kazakhstan,2018,1
Indonesia,Georgia,2019,1
Indonesia,Georgia,2020,1
Tajikistan,Slovenia,2017,1
Tajikistan,Slovenia,2018,1
Azerbaijan,Thailand,2020,1
Kazakhstan,Oman,2017,1
Turkmenistan,Brazil,2021,1
Philippines,Croatia,2020,1
Philippines,Croatia,2021,1
Brunei Darussalam,Morocco,2017,1
Myanmar,Slovenia,2017,1
Myanmar,Slovenia,2018,1
Myanmar,Slovenia,2019,1
Myanmar,Slovenia,2021,1
Maldives,Kazakhstan,2020,1
Iran,Republic of Moldova,2017,1
Malaysia,Slovenia,2018,1
Malaysia,Slovenia,2019,1
Malaysia,Slovenia,2020,1
Armenia,Slovakia,2020,1
Armenia,Slovakia,2021,1
Cyprus,Malta,2018,1
Uzbekistan,Republic of Moldova,2021,1
Kyrgyzstan,Malta,2019,1
Malaysia,Croatia,2018,1
Malaysia,Croatia,2021,1
Tajikistan,Ghana,2018,1
Lao People's Democratic Republic,Sweden,2019,1
Myanmar,Qatar,2021,1
Yemen,Cyprus,2020,1
Tajikistan,Brunei Darussalam,2017,1
Tajikistan,Brunei Darussalam,2018,1
Tajikistan,Brunei Darussalam,2019,1
Pakistan,Benin,2019,1
Pakistan,Benin,2020,1
Turkmenistan,Georgia,2018,1
Democratic People's South Korea,Sweden,2021,1
Mongolia,Saudi Arabia,2021,1
Singapore,Mauritius,2017,1
Singapore,Mauritius,2020,1
"Macao",Qatar,2018,1
"Macao",Morocco,2017,1
Cyprus,Argentina,2017,1
Lao People's Democratic Republic,Denmark,2017,1
Lao People's Democratic Republic,Denmark,2019,1
Turkmenistan,Slovenia,2018,1
Turkmenistan,Slovenia,2021,1
Thailand,Saint Lucia,2017,1
Uzbekistan,Lao People's Democratic Republic,2020,1
Singapore,Armenia,2017,1
Singapore,Armenia,2018,1
Uzbekistan,Colombia,2017,1
Uzbekistan,Colombia,2018,1
Uzbekistan,Colombia,2019,1
Uzbekistan,Colombia,2021,1
Tajikistan,Qatar,2020,1
Kuwait,Sri Lanka,2021,1
Lebanon,South Korea,2021,1
Sri Lanka,Macao,2017,1
Sri Lanka,Macao,2018,1
Bahrain,Botswana,2021,1
Myanmar,Morocco,2017,1
Myanmar,Morocco,2019,1
Myanmar,Morocco,2021,1
Philippines,Slovakia,2020,1
Philippines,Slovakia,2021,1
Thailand,Argentina,2018,1
Thailand,Argentina,2019,1
Thailand,Argentina,2020,1
Thailand,Argentina,2021,1
Maldives,Switzerland,2017,1
Maldives,Switzerland,2018,1
Maldives,Switzerland,2020,1
Armenia,Thailand,2020,1
Cyprus,Malaysia,2020,1
Cyprus,Malaysia,2021,1
Palestine,Slovenia,2019,1
Palestine,Croatia,2019,1
Kazakhstan,Colombia,2018,1
Kazakhstan,Colombia,2020,1
Kazakhstan,Colombia,2021,1
Indonesia,Ukraine,2021,1
Japan,Kazakhstan,2020,1
Cambodia,Luxembourg,2020,1
Cambodia,Luxembourg,2021,1
Philippines,Sri Lanka,2018,1
Armenia,Grenada,2017,1
Armenia,Grenada,2018,1
"Hong Kong",Colombia,2019,1
"Hong Kong",Colombia,2020,1
Turkmenistan,Croatia,2017,1
Turkmenistan,Croatia,2018,1
Turkmenistan,Croatia,2019,1
Bhutan,Sweden,2021,1
Democratic People's South Korea,Belgium,2017,1
Nepal,Argentina,2017,1
Nepal,Argentina,2019,1
Lebanon,Panama,2021,1
Qatar,Republic of Moldova,2021,1
Turkmenistan,Bosnia and Herzegovina,2018,1
Bhutan,Denmark,2018,1
Bhutan,Denmark,2019,1
Bhutan,Denmark,2021,1
Syrian Arab Republic,Colombia,2021,1
Jordan,Macao,2020,1
Jordan,Macao,2021,1
Malaysia,Georgia,2019,1
Japan,Mauritius,2020,1
Japan,Mauritius,2021,1
Thailand,Azerbaijan,2019,1
Thailand,Azerbaijan,2021,1
"Macao",India,2019,1
Mongolia,Liechtenstein,2017,1
Philippines,Ukraine,2017,1
Philippines,Ukraine,2018,1
Democratic People's South Korea,Portugal,2017,1
Democratic People's South Korea,Portugal,2019,1
Democratic People's South Korea,Portugal,2020,1
Democratic People's South Korea,Portugal,2021,1
Kyrgyzstan,Cyprus,2018,1
Kyrgyzstan,Cyprus,2020,1
Kyrgyzstan,Cyprus,2021,1
Pakistan,Mozambique,2018,1
United Arab Emirates,Grenada,2017,1
United Arab Emirates,Grenada,2018,1
China,Bahrain,2017,1
China,Bahrain,2020,1
Oman,Portugal,2018,1
Oman,Mauritius,2017,1
Philippines,Grenada,2017,1
Azerbaijan,Colombia,2017,1
Azerbaijan,Colombia,2018,1
Azerbaijan,Colombia,2019,1
Israel,Indonesia,2017,1
Malaysia,Romania,2019,1
Turkmenistan,Iran,2019,1
Malaysia,Iran,2018,1
Malaysia,Iran,2019,1
Yemen,Malta,2017,1
Yemen,Malta,2021,1
Indonesia,Ghana,2018,1
Nepal,Rwanda,2018,1
Nepal,Rwanda,2019,1
Philippines,Dominican Republic,2020,1
Cambodia,Romania,2017,1
Cambodia,Romania,2018,1
United Arab Emirates,Slovakia,2017,1
Uzbekistan,Liechtenstein,2017,1
Armenia,El Salvador,2019,1
Japan,Georgia,2017,1
Japan,Georgia,2018,1
Japan,Georgia,2019,1
Oman,Kazakhstan,2017,1
Israel,Malta,2018,1
Israel,Malta,2020,1
Uzbekistan,Hong Kong,2018,1
Uzbekistan,Hong Kong,2019,1
Indonesia,Slovakia,2018,1
Indonesia,Slovakia,2019,1
Indonesia,Slovakia,2021,1
United Arab Emirates,Ghana,2021,1
South Korea,Morocco,2021,1
Singapore,Romania,2018,1
Singapore,Romania,2021,1
Saudi Arabia,Côte d'Ivoire,2019,1
Turkmenistan,Luxembourg,2019,1
Pakistan,Honduras,2018,1
Nepal,Brazil,2018,1
Philippines,Ghana,2019,1
Qatar,Tajikistan,2017,1
Thailand,Cyprus,2018,1
Thailand,Cyprus,2019,1
Timor-Leste,Germany,2018,1
Timor-Leste,Germany,2019,1
Timor-Leste,Germany,2020,1
Timor-Leste,Germany,2021,1
India,Bermuda,2017,1
Iran,Ecuador,2018,1
Maldives,Norway,2017,1
Sri Lanka,Kyrgyzstan,2017,1
Sri Lanka,Kyrgyzstan,2018,1
Cyprus,Brazil,2018,1
Cyprus,Brazil,2019,1
Sri Lanka,Slovakia,2017,1
Sri Lanka,Slovakia,2018,1
Cambodia,South Africa,2017,1
Cambodia,South Africa,2018,1
Saudi Arabia,North Macedonia,2019,1
Cyprus,South Korea,2017,1
China,El Salvador,2020,1
"Hong Kong",Spain,2017,1
"Hong Kong",Spain,2018,1
"Hong Kong",Spain,2020,1
Turkmenistan,New Zealand,2017,1
Turkmenistan,New Zealand,2020,1
Israel,Malaysia,2019,1
Qatar,South Korea,2018,1
Yemen,Greece,2018,1
Yemen,Greece,2021,1
Vietnam,Chile,2018,1
Bahrain,Latvia,2017,1
Bahrain,Latvia,2019,1
Qatar,Serbia,2017,1
Qatar,Serbia,2018,1
Georgia,Ghana,2017,1
Georgia,Ghana,2020,1
Lebanon,Thailand,2020,1
"Hong Kong",Cyprus,2018,1
"Hong Kong",Cyprus,2020,1
Turkey,Macao,2018,1
India,Lesotho,2018,1
Bhutan,Georgia,2017,1
Bhutan,Georgia,2018,1
Bhutan,Georgia,2020,1
Bhutan,Georgia,2021,1
Singapore,Croatia,2021,1
Armenia,Qatar,2018,1
Japan,Luxembourg,2018,1
Japan,Luxembourg,2019,1
Jordan,Brunei Darussalam,2019,1
Indonesia,Monaco,2020,1
Indonesia,Monaco,2021,1
Turkey,Panama,2020,1
Bhutan,Portugal,2021,1
Tajikistan,Iceland,2020,1
Iraq,Kazakhstan,2020,1
Qatar,Malta,2019,1
Israel,Estonia,2019,1
Malaysia,Republic of Moldova,2019,1
Malaysia,Republic of Moldova,2021,1
Georgia,Grenada,2017,1
Georgia,Grenada,2018,1
Georgia,Kyrgyzstan,2019,1
Georgia,Kyrgyzstan,2021,1
Azerbaijan,Argentina,2020,1
Kuwait,Lithuania,2017,1
Kuwait,Lithuania,2018,1
Palestine,Ecuador,2019,1
Democratic People's South Korea,Iran,2017,1
Democratic People's South Korea,Iran,2018,1
Democratic People's South Korea,Iran,2020,1
Philippines,Namibia,2018,1
Saudi Arabia,Belarus,2017,1
Saudi Arabia,Belarus,2019,1
Saudi Arabia,Belarus,2021,1
Tajikistan,Morocco,2018,1
Tajikistan,Morocco,2019,1
Brunei Darussalam,Finland,2018,1
Kyrgyzstan,North Macedonia,2018,1
Lao People's Democratic Republic,South Africa,2017,1
Lao People's Democratic Republic,South Africa,2018,1
Israel,Honduras,2017,1
Kyrgyzstan,Ireland,2017,1
Kyrgyzstan,Ireland,2018,1
Mongolia,Cyprus,2019,1
Mongolia,Cyprus,2020,1
Mongolia,Cyprus,2021,1
Turkey,Dominican Republic,2020,1
Iran,Malta,2021,1
Yemen,Estonia,2017,1
Yemen,Estonia,2018,1
Bangladesh,Côte d'Ivoire,2017,1
Bangladesh,Côte d'Ivoire,2019,1
Bangladesh,Côte d'Ivoire,2020,1
Mongolia,Malta,2017,1
Mongolia,Malta,2018,1
Mongolia,Malta,2019,1
Mongolia,Malta,2020,1
Brunei Darussalam,Switzerland,2017,1
Brunei Darussalam,Switzerland,2021,1
Philippines,Costa Rica,2017,1
Philippines,Costa Rica,2019,1
Philippines,Costa Rica,2020,1
Qatar,Malaysia,2017,1
Lao People's Democratic Republic,Belgium,2018,1
Lao People's Democratic Republic,Belgium,2019,1
Lao People's Democratic Republic,Belgium,2020,1
Lao People's Democratic Republic,Belgium,2021,1
Brunei Darussalam,Grenada,2018,1
Indonesia,Lithuania,2017,1
Indonesia,Lithuania,2019,1
Lebanon,Vietnam,2020,1
Lebanon,Vietnam,2021,1
Indonesia,Namibia,2019,1
Indonesia,Namibia,2020,1
"Macao",Belgium,2018,1
"Macao",Belgium,2021,1
Kyrgyzstan,Brazil,2017,1
Kyrgyzstan,Brazil,2020,1
Kyrgyzstan,Brazil,2021,1
Yemen,Serbia,2020,1
Lebanon,Dominican Republic,2017,1
Philippines,Chile,2018,1
Bahrain,Iceland,2020,1
Bahrain,Iceland,2021,1
Nepal,Belarus,2019,1
Nepal,Belarus,2020,1
Oman,Georgia,2020,1
United Arab Emirates,Iceland,2017,1
United Arab Emirates,Iceland,2019,1
United Arab Emirates,Iceland,2021,1
Bahrain,Lithuania,2017,1
Bangladesh,Mozambique,2017,1
"Hong Kong",Malta,2018,1
Israel,Panama,2021,1
unknown countries,Romania,2019,1
Maldives,Qatar,2017,1
Maldives,Qatar,2019,1
Maldives,Qatar,2021,1
Philippines,Andorra,2021,1
Vietnam,Latvia,2017,1
Turkmenistan,Republic of Moldova,2019,1
Turkmenistan,Republic of Moldova,2020,1
Turkmenistan,Republic of Moldova,2021,1
Qatar,Brazil,2019,1
Qatar,Brazil,2021,1
Tajikistan,Trinidad and Tobago,2021,1
Palestine,Colombia,2018,1
Palestine,Colombia,2019,1
Palestine,Colombia,2020,1
Palestine,Colombia,2021,1
Tajikistan,Denmark,2017,1
Tajikistan,Denmark,2018,1
Tajikistan,Denmark,2019,1
Japan,Slovenia,2018,1
Japan,Slovenia,2020,1
Kazakhstan,Ecuador,2018,1
Kazakhstan,Ecuador,2019,1
Sri Lanka,Botswana,2021,1
Myanmar,Monaco,2021,1
Jordan,Cuba,2018,1
Yemen,Ireland,2019,1
Brunei Darussalam,Oman,2020,1
Brunei Darussalam,Oman,2021,1
Cyprus,Belarus,2019,1
Japan,Croatia,2021,1
Malaysia,Liechtenstein,2017,1
Malaysia,Liechtenstein,2018,1
Malaysia,Liechtenstein,2019,1
Malaysia,Liechtenstein,2020,1
Georgia,Uzbekistan,2019,1
Qatar,Bulgaria,2017,1
Singapore,Colombia,2019,1
Singapore,Colombia,2021,1
Kuwait,Latvia,2017,1
Vietnam,United Republic of Tanzania,2021,1
Indonesia,Chile,2018,1
Myanmar,Portugal,2020,1
Philippines,Morocco,2018,1
Philippines,Morocco,2019,1
Kazakhstan,Republic of Moldova,2019,1
Singapore,Slovenia,2018,1
Singapore,Slovenia,2019,1
Malaysia,Colombia,2018,1
Thailand,Brazil,2017,1
Armenia,Uzbekistan,2021,1
Oman,Croatia,2017,1
Oman,Croatia,2018,1
Oman,Croatia,2020,1
Oman,Romania,2017,1
Oman,Romania,2018,1
Oman,Romania,2019,1
Oman,Romania,2021,1
Armenia,Andorra,2021,1
Lebanon,Colombia,2017,1
Kazakhstan,Monaco,2021,1
Sri Lanka,Ecuador,2020,1
Iran,Mauritius,2020,1
South Korea,Panama,2021,1
Turkey,Rwanda,2017,1
Saudi Arabia,Rwanda,2020,1
Lebanon,Mauritania,2020,1
Thailand,Monaco,2021,1
Sri Lanka,Luxembourg,2018,1
Sri Lanka,Luxembourg,2021,1
Nepal,Bhutan,2021,1
Yemen,Trinidad and Tobago,2019,1
China,Turkmenistan,2021,1
Japan,Mozambique,2018,1
Thailand,San Marino,2018,1
Oman,Panama,2021,1
Sri Lanka,Colombia,2018,1
Kuwait,Mauritania,2017,1
Democratic People's South Korea,Slovakia,2018,1
Iran,San Marino,2018,1
Tajikistan,Argentina,2017,1
Tajikistan,Argentina,2021,1
Myanmar,Kazakhstan,2018,1
Philippines,Monaco,2021,1
Turkmenistan,Argentina,2018,1
Palestine,Argentina,2019,1
Palestine,Argentina,2020,1
Palestine,Argentina,2021,1
China,Monaco,2021,1
Uzbekistan,Panama,2021,1
Kazakhstan,Panama,2021,1
Palestine,Panama,2021,1
Tajikistan,Colombia,2019,1
South Korea,Trinidad and Tobago,2021,1
Kyrgyzstan,Argentina,2019,1
Kyrgyzstan,Argentina,2020,1
Malaysia,Bosnia and Herzegovina,2017,1
Malaysia,Bosnia and Herzegovina,2018,1
Malaysia,Bosnia and Herzegovina,2019,1
Malaysia,Bosnia and Herzegovina,2021,1
Iraq,Monaco,2020,1
Iraq,Monaco,2021,1
Bhutan,United Republic of Tanzania,2021,1
Qatar,Mauritania,2020,1
Qatar,Argentina,2018,1
Qatar,Argentina,2020,1
Qatar,Argentina,2021,1
Tajikistan,United Republic of Tanzania,2021,1
Iraq,United Republic of Tanzania,2021,1
Maldives,Bhutan,2021,1
"Hong Kong",Bhutan,2021,1
Iraq,Ecuador,2020,1
Kuwait,Monaco,2021,1
Malaysia,Monaco,2020,1
Kyrgyzstan,Monaco,2020,1
Kyrgyzstan,Monaco,2021,1
Turkey,Monaco,2021,1
China,Guatemala,2019,1
Israel,Guatemala,2019,1
Jordan,Guatemala,2019,1
Cuba,Slovakia,2017,1
Cuba,Slovakia,2018,2
Cuba,Slovakia,2019,1
Cuba,Slovakia,2020,1
Cuba,Slovakia,2021,1
Dominican Republic,Latvia,2020,1
Nicaragua,Ukraine,2020,1
Nicaragua,Ukraine,2021,1
Peru,Lithuania,2017,4
Peru,Lithuania,2018,3
Peru,Lithuania,2019,2
Peru,Lithuania,2020,3
Peru,Lithuania,2021,5
Antigua and Barbuda,Hungary,2017,1
Antigua and Barbuda,Hungary,2018,1
Antigua and Barbuda,Hungary,2019,1
Antigua and Barbuda,Hungary,2020,1
Suriname,United States of America,2017,86.59394
Suriname,United States of America,2018,80.58306
Suriname,United States of America,2020,57.6326
Suriname,United States of America,2021,53.95958
Peru,Iceland,2017,5
Peru,Iceland,2018,4
Peru,Iceland,2019,6
Peru,Iceland,2020,6
Peru,Iceland,2021,5
Bolivarian Republic of Venezuela,Qatar,2017,4
Bolivarian Republic of Venezuela,Qatar,2018,2
Bolivarian Republic of Venezuela,Qatar,2019,1
Bolivarian Republic of Venezuela,Qatar,2020,2
Bolivarian Republic of Venezuela,Qatar,2021,3
Bolivarian Republic of Venezuela,Macao,2020,3
Bolivarian Republic of Venezuela,Macao,2021,3
Antigua and Barbuda,Belgium,2020,3
